192.168.65.1 - - [15/Oct/2023:09:06:52 +0000] "GET /admin/settings HTTP/1.1" 200 - "http://localhost:9000/sessions/new?return_to=%2Fcoding_rules" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "-"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /api/new_code_periods/show HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAZ"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /api/settings/values?keys=email.smtp_host.secured%2Cemail.smtp_port.secured%2Cemail.smtp_secure_connection.secured%2Cemail.smtp_username.secured%2Cemail.smtp_password.secured%2Cemail.from%2Cemail.fromName%2Cemail.prefix%2Csonar.builtInQualityProfiles.disableNotificationOnUpdate%2Csonar.cpd.cross_project%2Csonar.issues.defaultAssigneeLogin%2Csonar.projectCreation.mainBranchName%2Csonar.developerAggregatedInfo.disabled%2Csonar.lf.enableGravatar%2Csonar.lf.gravatarServerUrl%2Csonar.qualitygate.ignoreSmallChanges%2Csonar.lf.logoUrl%2Csonar.core.serverBaseURL%2Csonar.lf.logoWidthPx HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAb"
192.168.65.1 - - [15/Oct/2023:09:07:08 +0000] "GET /fonts/Inter/Inter-Regular.woff2 HTTP/1.1" 200 98868 "http://localhost:9000/js/out6SLMQM3Z.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAc"
192.168.65.1 - - [15/Oct/2023:09:07:09 +0000] "GET /api/system/upgrades HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAR"
192.168.65.1 - - [15/Oct/2023:09:07:09 +0000] "GET /api/plugins/pending HTTP/1.1" 200 - "http://localhost:9000/admin/settings" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAU"
192.168.65.1 - - [15/Oct/2023:09:07:11 +0000] "GET /api/components/search_projects?filter=isFavorite&ps=1 HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAd"
192.168.65.1 - - [15/Oct/2023:09:07:11 +0000] "GET /api/components/search_projects?ps=1 HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAe"
192.168.65.1 - - [15/Oct/2023:09:07:12 +0000] "GET /api/alm_settings/list? HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAf"
192.168.65.1 - - [15/Oct/2023:09:07:12 +0000] "GET /fonts/Inter/Inter-Italic.woff2 HTTP/1.1" 200 106876 "http://localhost:9000/js/out6SLMQM3Z.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAh"
192.168.65.1 - - [15/Oct/2023:09:07:12 +0000] "GET /api/components/search_projects?ps=50&facets=reliability_rating%2Csecurity_rating%2Csecurity_review_rating%2Csqale_rating%2Ccoverage%2Cduplicated_lines_density%2Cncloc%2Calert_status%2Clanguages%2Ctags%2Cqualifier&f=analysisDate%2CleakPeriodDate HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAg"
192.168.65.1 - - [15/Oct/2023:09:07:12 +0000] "GET /api/projects/search_my_scannable_projects HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAj"
192.168.65.1 - - [15/Oct/2023:09:07:12 +0000] "GET /api/measures/search?projectKeys=sonarqube&metricKeys=alert_status%2Cbugs%2Creliability_rating%2Cvulnerabilities%2Csecurity_rating%2Csecurity_hotspots_reviewed%2Csecurity_review_rating%2Ccode_smells%2Csqale_rating%2Cduplicated_lines_density%2Ccoverage%2Cncloc%2Cncloc_language_distribution%2Cprojects HTTP/1.1" 200 - "http://localhost:9000/projects" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAi"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /api/components/show?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAl"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /api/navigation/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAk"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /api/new_code_periods/show?project=sonarqube HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAo"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /api/project_branches/list?project=sonarqube HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAn"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAm"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /api/alm_settings/get_binding?project=sonarqube HTTP/1.1" 404 - "http://localhost:9000/dashboard?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAq"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /api/ce/analysis_status?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAp"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAr"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /api/settings/values?keys=sonar.core.serverBaseURL HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAs"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /images/tutorials/azure-pipelines.svg HTTP/1.1" 200 2371 "http://localhost:9000/tutorials?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAu"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /images/tutorials/jenkins.svg HTTP/1.1" 200 29803 "http://localhost:9000/tutorials?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAt"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /images/alm/bitbucket.svg HTTP/1.1" 304 - "http://localhost:9000/tutorials?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAx"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /images/tutorials/github-actions.svg HTTP/1.1" 304 - "http://localhost:9000/tutorials?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAv"
192.168.65.1 - - [15/Oct/2023:09:07:15 +0000] "GET /images/alm/gitlab.svg HTTP/1.1" 304 - "http://localhost:9000/tutorials?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAw"
192.168.65.1 - - [15/Oct/2023:09:07:18 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAy"
192.168.65.1 - - [15/Oct/2023:09:07:21 +0000] "GET /fonts/Ubuntu/UbuntuMono-Regular.woff2 HTTP/1.1" 200 79680 "http://localhost:9000/js/out6SLMQM3Z.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAAz"
192.168.65.1 - - [15/Oct/2023:09:07:21 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAA0"
192.168.65.1 - - [15/Oct/2023:09:07:24 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAA1"
192.168.65.1 - - [15/Oct/2023:09:07:27 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAA2"
192.168.65.1 - - [15/Oct/2023:09:07:30 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAA3"
192.168.65.1 - - [15/Oct/2023:09:07:33 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAA4"
192.168.65.1 - - [15/Oct/2023:09:07:36 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAA5"
192.168.65.1 - - [15/Oct/2023:09:07:39 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAA6"
192.168.65.1 - - [15/Oct/2023:09:07:43 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAA7"
192.168.65.1 - - [15/Oct/2023:09:07:46 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAA8"
192.168.65.1 - - [15/Oct/2023:09:07:49 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAA9"
192.168.65.1 - - [15/Oct/2023:09:07:52 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAA+"
192.168.65.1 - - [15/Oct/2023:09:07:54 +0000] "GET /fonts/Ubuntu/UbuntuMono-Italic.woff2 HTTP/1.1" 200 81344 "http://localhost:9000/js/out6SLMQM3Z.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAAA/"
192.168.65.1 - - [15/Oct/2023:09:07:55 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAABA"
192.168.65.1 - - [15/Oct/2023:09:07:58 +0000] "GET /api/ce/component?component=sonarqube HTTP/1.1" 200 - "http://localhost:9000/tutorials?id=sonarqube&selectedTutorial=github-actions" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" "AYsylq9YIMHrNvnYAABB"
